schema: c3332
total: 531

pos	coluna	tipo
182	codadiantamentosaldo	USER-DEFINED
183	caixaarquivo	character varying
184	permitefaturar	USER-DEFINED
185	obs6	USER-DEFINED
186	obs7	USER-DEFINED
187	usuarioins	character varying
188	usuarioalt	character varying
189	chegoucomprovante	USER-DEFINED
190	pedagiocalceixo	USER-DEFINED
191	caixaarquivosaldo	character varying
192	numeropedagio	character varying
193	taxaiss	USER-DEFINED
194	numeroseguro	character varying
195	taxaadiantempresa	USER-DEFINED
196	taxamercfrete	USER-DEFINED
197	codpropredespacho	USER-DEFINED
198	valorseccat	USER-DEFINED
199	seccatembutidofrete	USER-DEFINED
200	quebrasegurada	USER-DEFINED
201	numerobalsa	character varying
202	pedagioembffiscal	USER-DEFINED
203	seloicms	character varying
204	multaicms	USER-DEFINED
205	jurosicms	USER-DEFINED
206	tseicms	USER-DEFINED
207	toleranciapesocheg	USER-DEFINED
208	numeroctrcbase	USER-DEFINED
209	diasfaturamento	USER-DEFINED
210	codordemcar	USER-DEFINED
211	codprodutor	USER-DEFINED
212	outrosdescontosmot	USER-DEFINED
213	codtiporastreamento	USER-DEFINED
214	codagrupador	USER-DEFINED
215	liberacaomotorista	character varying
216	vlbasecomissao	USER-DEFINED
217	valorrastreamento	USER-DEFINED
218	descontaisssaldoemp	USER-DEFINED
219	codproprietario	USER-DEFINED
220	codcidaderef	USER-DEFINED
221	numtransporte	character varying
222	veiccontratado	character varying
223	baseicmsdireta	USER-DEFINED
224	baseissdireta	USER-DEFINED
225	baseiss	USER-DEFINED
226	csll	USER-DEFINED
227	vlcsll	USER-DEFINED
228	vlpis	USER-DEFINED
229	vlcofins	USER-DEFINED
230	descpissaldoemp	USER-DEFINED
231	desccofinssaldoemp	USER-DEFINED
232	desccsllsaldoemp	USER-DEFINED
233	somarissfatsaldo	USER-DEFINED
234	calculainssempresa	USER-DEFINED
235	taxainssempresa	USER-DEFINED
236	tipofreteempresa	USER-DEFINED
237	pesocubado	USER-DEFINED
238	auxiliocarga	USER-DEFINED
239	auxiliodescarga	USER-DEFINED
240	segurorctrc	USER-DEFINED
241	segurorcfdc	USER-DEFINED
242	porcadvalor	USER-DEFINED
243	advalor	USER-DEFINED
244	valorpedagiomot	USER-DEFINED
245	valorentrega	USER-DEFINED
246	codgerrisco	USER-DEFINED
247	libgerriscomot	character varying
248	libgerriscoprop	character varying
